x_min,x_max,y_min,y_max,repeat,row_count_total,row_count_avg,execution_time_total_ms,execution_time_avg_ms
919208,919248,5640714,5640744,20,0,0,63.76,3.188
1054127,1054207,5584096,5584156,20,0,0,51.283,2.564
1067594,1067714,5476892,5476982,20,0,0,41.81,2.09
1041554,1041714,5520870,5520990,20,0,0,64.926,3.246
1018487,1018687,5523506,5523656,20,100,5,79.542,3.977
955831,956231,5698634,5698934,20,0,0,175.157,8.758
1017690,1018490,5611266,5611866,20,0,0,157.464,7.873
968082,969282,5680633,5681533,20,0,0,401.506,20.075
1030156,1031756,5617219,5618419,20,0,0,217.661,10.883
1010522,1012522,5669873,5671373,20,0,0,362.887,18.144
891483,895483,5536898,5539898,20,0,0,791.921,39.596
1029192,1037192,5501379,5507379,20,0,0,1100.706,55.035
1029914,1041914,5652567,5661567,20,0,0,1130.072,56.504
1052046,1068046,5472077,5484077,20,0,0,2280.928,114.046
1058248,1078248,5505932,5520932,20,0,0,2600.416,130.021
924822,964822,5554822,5584822,20,1000460,50023,23541.558,1177.078
949950,1029950,5443840,5503840,20,2345180,117259,27100.148,1355.007
901316,1021316,5611915,5701915,20,3595600,179780,51904.192,2595.21
909882,1069882,5458141,5578141,20,10750040,537502,73902.878,3695.144
879436,1079436,5475025,5625025,20,14298800,714940,91680.723,4584.036
879220,1279220,5442513,5742513,20,19318080,965904,106499.144,5324.957
879220,1679220,5442513,6042513,20,19318080,965904,104978.051,5248.903
