x_min,x_max,y_min,y_max,repeat,row_count_total,row_count_avg,execution_time_total_ms,execution_time_avg_ms
967254,967294,5467287,5467317,20,0,0,1479.733,73.987
1073706,1073786,5650716,5650776,20,0,0,1367.476,68.374
915391,915511,5684698,5684788,20,20,1,1533.895,76.695
1047453,1047613,5674520,5674640,20,0,0,1342.014,67.101
993198,993398,5578109,5578259,20,0,0,1398.129,69.906
969344,969744,5695957,5696257,20,0,0,1418.123,70.906
918007,918807,5691280,5691880,20,140,7,1497.323,74.866
1048753,1049953,5590474,5591374,20,20,1,1344.934,67.247
990280,991880,5559494,5560694,20,220,11,1369.626,68.481
920390,922390,5515780,5517280,20,940,47,1492.012,74.601
939675,943675,5649750,5652750,20,8620,431,1490.64,74.532
1036718,1044718,5643609,5649609,20,0,0,1347.492,67.375
916869,928869,5690573,5699573,20,31080,1554,1544.381,77.219
988956,1004956,5613141,5625141,20,48800,2440,1439.143,71.957
894206,914206,5679701,5694701,20,133380,6669,1685.757,84.288
886743,926743,5587123,5617123,20,513900,25695,2064.143,103.207
931199,1011199,5542857,5602857,20,3480240,174012,4995.932,249.797
924379,1044379,5471236,5561236,20,6948120,347406,8568.925,428.446
901273,1061273,5519480,5639480,20,10100520,505026,11571.361,578.568
879746,1079746,5535884,5685884,20,11368020,568401,12896.57,644.829
879220,1279220,5442513,5742513,20,19318080,965904,20754.698,1037.735
879220,1679220,5442513,6042513,20,19318080,965904,20471.851,1023.593
