x_min,x_max,y_min,y_max,repeat,row_count_total,row_count_avg,execution_time_total_ms,execution_time_avg_ms
952383,952423,5641881,5641911,20,0,0,40.927,2.046
886225,886305,5496865,5496925,20,0,0,7.067,0.353
1070827,1070947,5580829,5580919,20,0,0,8.387,0.419
1004606,1004766,5676414,5676534,20,0,0,37.488,1.874
987628,987828,5575531,5575681,20,40,2,44.117,2.206
887933,888333,5501086,5501386,20,0,0,18.24,0.912
1013219,1014019,5518821,5519421,20,340,17,71.476,3.574
979506,980706,5533920,5534820,20,160,8,165.343,8.267
1003854,1005454,5701168,5702368,20,0,0,125.92,6.296
1065052,1067052,5543984,5545484,20,20,1,49.098,2.455
1000303,1004303,5600316,5603316,20,7400,370,313.555,15.678
1040728,1048728,5529703,5535703,20,15060,753,235.757,11.788
953189,965189,5497995,5506995,20,103140,5157,1755.269,87.763
1043421,1059421,5478794,5490794,20,0,0,394.783,19.739
991706,1011706,5620695,5635695,20,0,0,1167.338,58.367
1017386,1057386,5495810,5525810,20,153040,7652,1055.707,52.785
922410,1002410,5484144,5544144,20,3789640,189482,12633.281,631.664
924883,1044883,5598439,5688439,20,2944980,147249,13264.78,663.239
882323,1042323,5580696,5700696,20,6728720,336436,20517.093,1025.855
880664,1080664,5449211,5599211,20,14186060,709303,30350.275,1517.514
879220,1279220,5442513,5742513,20,19318080,965904,35498.024,1774.901
879220,1679220,5442513,6042513,20,19318080,965904,33421.595,1671.08
