x_min,x_max,y_min,y_max,repeat,row_count_total,row_count_avg,execution_time_total_ms,execution_time_avg_ms
1047107,1047147,5592896,5592926,20,0,0,3.259,0.163
906961,907041,5682350,5682410,20,0,0,5.268,0.263
895489,895609,5671974,5672064,20,0,0,4.939,0.247
948553,948713,5446881,5447001,20,0,0,6.807,0.34
918843,919043,5571270,5571420,20,0,0,5.92,0.296
900727,901127,5694940,5695240,20,60,3,7.13,0.356
1000960,1001760,5493063,5493663,20,420,21,13.149,0.657
942464,943664,5614436,5615336,20,300,15,25.301,1.265
903503,905103,5646137,5647337,20,880,44,27.206,1.36
992275,994275,5585633,5587133,20,1280,64,29.55,1.477
1062949,1066949,5454347,5457347,20,0,0,16.214,0.811
910820,918820,5587093,5593093,20,24160,1208,185.911,9.296
925970,937970,5500569,5509569,20,80200,4010,352.116,17.606
902890,918890,5531381,5543381,20,85560,4278,425.419,21.271
1047044,1067044,5487371,5502371,20,0,0,84.008,4.2
892523,932523,5468901,5498901,20,675360,33768,1832.405,91.62
907449,987449,5452841,5512841,20,3871300,193565,8045.85,402.292
888972,1008972,5497604,5587604,20,6932500,346625,13605.555,680.278
919438,1079438,5534338,5654338,20,8457760,422888,15721.886,786.094
881451,1081451,5512399,5662399,20,12481060,624053,23277.124,1163.856
879220,1279220,5442513,5742513,20,19318080,965904,36383.658,1819.183
879220,1679220,5442513,6042513,20,19318080,965904,36138.794,1806.94
