x_min,x_max,y_min,y_max,repeat,row_count_total,row_count_avg,execution_time_total_ms,execution_time_avg_ms
914387,914427,5550551,5550581,20,20,1,16.411,0.821
1029905,1029985,5483267,5483327,20,0,0,34.078,1.704
1048671,1048791,5578250,5578340,20,0,0,32.505,1.625
924380,924540,5577384,5577504,20,20,1,36.416,1.821
958030,958230,5632636,5632786,20,60,3,18.448,0.922
931764,932164,5474280,5474580,20,120,6,39.394,1.97
975084,975884,5482581,5483181,20,1080,54,87.46,4.373
913735,914935,5450835,5451735,20,920,46,21.551,1.078
996607,998207,5465643,5466843,20,0,0,102.989,5.149
889581,891581,5509630,5511130,20,2180,109,163.685,8.184
1041424,1045424,5519457,5522457,20,1580,79,258.941,12.947
980538,988538,5606094,5612094,20,33100,1655,311.467,15.573
963154,975154,5604805,5613805,20,51420,2571,466.596,23.33
899115,915115,5551114,5563114,20,76060,3803,928.341,46.417
1042985,1062985,5672108,5687108,20,0,0,558.045,27.902
994142,1034142,5610353,5640353,20,86120,4306,1027.381,51.369
894893,974893,5589015,5649015,20,2795440,139772,5063.044,253.152
896059,1016059,5496416,5586416,20,7249460,362473,13396.054,669.803
898513,1058513,5506615,5626615,20,10656680,532834,18153.648,907.682
882141,1082141,5500081,5650081,20,13061540,653077,21569.071,1078.454
879220,1279220,5442513,5742513,20,19318080,965904,32134.598,1606.73
879220,1679220,5442513,6042513,20,19318080,965904,30364.383,1518.219
