x_min,x_max,y_min,y_max,records_count,execution_time_ms
887102,887142,5642415,5642445,0,10.624
887102,887142,5642415,5642445,0,0.206
887102,887142,5642415,5642445,0,0.145
887102,887142,5642415,5642445,0,0.146
887102,887142,5642415,5642445,0,0.151
887102,887142,5642415,5642445,0,0.142
887102,887142,5642415,5642445,0,0.151
887102,887142,5642415,5642445,0,0.139
887102,887142,5642415,5642445,0,0.142
887102,887142,5642415,5642445,0,0.185
887102,887142,5642415,5642445,0,0.14
887102,887142,5642415,5642445,0,0.15
887102,887142,5642415,5642445,0,0.141
887102,887142,5642415,5642445,0,0.141
887102,887142,5642415,5642445,0,0.157
887102,887142,5642415,5642445,0,0.14
887102,887142,5642415,5642445,0,0.184
887102,887142,5642415,5642445,0,0.14
887102,887142,5642415,5642445,0,0.141
887102,887142,5642415,5642445,0,0.15
1050719,1050799,5466849,5466909,0,3.885
1050719,1050799,5466849,5466909,0,0.338
1050719,1050799,5466849,5466909,0,0.285
1050719,1050799,5466849,5466909,0,0.311
1050719,1050799,5466849,5466909,0,0.414
1050719,1050799,5466849,5466909,0,0.293
1050719,1050799,5466849,5466909,0,0.374
1050719,1050799,5466849,5466909,0,0.182
1050719,1050799,5466849,5466909,0,0.157
1050719,1050799,5466849,5466909,0,0.157
1050719,1050799,5466849,5466909,0,0.205
1050719,1050799,5466849,5466909,0,0.158
1050719,1050799,5466849,5466909,0,0.176
1050719,1050799,5466849,5466909,0,0.164
1050719,1050799,5466849,5466909,0,0.156
1050719,1050799,5466849,5466909,0,0.154
1050719,1050799,5466849,5466909,0,0.167
1050719,1050799,5466849,5466909,0,0.191
1050719,1050799,5466849,5466909,0,0.182
1050719,1050799,5466849,5466909,0,0.208
936866,936986,5467469,5467559,0,1.672
936866,936986,5467469,5467559,0,0.343
936866,936986,5467469,5467559,0,0.249
936866,936986,5467469,5467559,0,0.232
936866,936986,5467469,5467559,0,0.344
936866,936986,5467469,5467559,0,0.397
936866,936986,5467469,5467559,0,0.492
936866,936986,5467469,5467559,0,0.315
936866,936986,5467469,5467559,0,0.388
936866,936986,5467469,5467559,0,0.502
936866,936986,5467469,5467559,0,0.271
936866,936986,5467469,5467559,0,0.233
936866,936986,5467469,5467559,0,0.23
936866,936986,5467469,5467559,0,0.229
936866,936986,5467469,5467559,0,0.238
936866,936986,5467469,5467559,0,0.231
936866,936986,5467469,5467559,0,0.24
936866,936986,5467469,5467559,0,0.239
936866,936986,5467469,5467559,0,0.238
936866,936986,5467469,5467559,0,0.239
964792,964952,5659488,5659608,0,21.777
964792,964952,5659488,5659608,0,0.328
964792,964952,5659488,5659608,0,0.278
964792,964952,5659488,5659608,0,0.283
964792,964952,5659488,5659608,0,0.285
964792,964952,5659488,5659608,0,0.28
964792,964952,5659488,5659608,0,0.329
964792,964952,5659488,5659608,0,0.282
964792,964952,5659488,5659608,0,0.287
964792,964952,5659488,5659608,0,0.284
964792,964952,5659488,5659608,0,0.266
964792,964952,5659488,5659608,0,0.263
964792,964952,5659488,5659608,0,0.271
964792,964952,5659488,5659608,0,0.267
964792,964952,5659488,5659608,0,0.275
964792,964952,5659488,5659608,0,0.28
964792,964952,5659488,5659608,0,0.272
964792,964952,5659488,5659608,0,0.277
964792,964952,5659488,5659608,0,0.27
964792,964952,5659488,5659608,0,0.262
926830,927030,5606597,5606747,2,72.493
926830,927030,5606597,5606747,2,0.449
926830,927030,5606597,5606747,2,0.362
926830,927030,5606597,5606747,2,0.347
926830,927030,5606597,5606747,2,0.343
926830,927030,5606597,5606747,2,0.358
926830,927030,5606597,5606747,2,0.357
926830,927030,5606597,5606747,2,0.355
926830,927030,5606597,5606747,2,0.342
926830,927030,5606597,5606747,2,0.342
926830,927030,5606597,5606747,2,0.343
926830,927030,5606597,5606747,2,0.346
926830,927030,5606597,5606747,2,0.343
926830,927030,5606597,5606747,2,0.342
926830,927030,5606597,5606747,2,0.348
926830,927030,5606597,5606747,2,0.353
926830,927030,5606597,5606747,2,0.354
926830,927030,5606597,5606747,2,0.354
926830,927030,5606597,5606747,2,0.362
926830,927030,5606597,5606747,2,0.367
915251,915651,5496959,5497259,1,35.129
915251,915651,5496959,5497259,1,0.549
915251,915651,5496959,5497259,1,0.507
915251,915651,5496959,5497259,1,0.532
915251,915651,5496959,5497259,1,0.503
915251,915651,5496959,5497259,1,0.5
915251,915651,5496959,5497259,1,0.51
915251,915651,5496959,5497259,1,0.502
915251,915651,5496959,5497259,1,0.502
915251,915651,5496959,5497259,1,0.64
915251,915651,5496959,5497259,1,0.541
915251,915651,5496959,5497259,1,0.527
915251,915651,5496959,5497259,1,0.605
915251,915651,5496959,5497259,1,0.504
915251,915651,5496959,5497259,1,0.504
915251,915651,5496959,5497259,1,0.752
915251,915651,5496959,5497259,1,0.528
915251,915651,5496959,5497259,1,0.528
915251,915651,5496959,5497259,1,0.495
915251,915651,5496959,5497259,1,0.432
1048921,1049721,5532399,5532999,2,18.629
1048921,1049721,5532399,5532999,2,0.319
1048921,1049721,5532399,5532999,2,0.285
1048921,1049721,5532399,5532999,2,0.282
1048921,1049721,5532399,5532999,2,0.297
1048921,1049721,5532399,5532999,2,0.331
1048921,1049721,5532399,5532999,2,0.294
1048921,1049721,5532399,5532999,2,0.363
1048921,1049721,5532399,5532999,2,0.294
1048921,1049721,5532399,5532999,2,0.293
1048921,1049721,5532399,5532999,2,0.297
1048921,1049721,5532399,5532999,2,0.29
1048921,1049721,5532399,5532999,2,0.29
1048921,1049721,5532399,5532999,2,0.29
1048921,1049721,5532399,5532999,2,0.29
1048921,1049721,5532399,5532999,2,0.289
1048921,1049721,5532399,5532999,2,0.289
1048921,1049721,5532399,5532999,2,0.297
1048921,1049721,5532399,5532999,2,0.378
1048921,1049721,5532399,5532999,2,0.298
1026900,1028100,5539345,5540245,18,74.621
1026900,1028100,5539345,5540245,18,0.458
1026900,1028100,5539345,5540245,18,0.413
1026900,1028100,5539345,5540245,18,0.428
1026900,1028100,5539345,5540245,18,0.418
1026900,1028100,5539345,5540245,18,0.417
1026900,1028100,5539345,5540245,18,0.417
1026900,1028100,5539345,5540245,18,0.407
1026900,1028100,5539345,5540245,18,0.416
1026900,1028100,5539345,5540245,18,0.401
1026900,1028100,5539345,5540245,18,0.365
1026900,1028100,5539345,5540245,18,0.357
1026900,1028100,5539345,5540245,18,0.357
1026900,1028100,5539345,5540245,18,0.359
1026900,1028100,5539345,5540245,18,0.364
1026900,1028100,5539345,5540245,18,0.348
1026900,1028100,5539345,5540245,18,0.357
1026900,1028100,5539345,5540245,18,0.355
1026900,1028100,5539345,5540245,18,0.381
1026900,1028100,5539345,5540245,18,0.355
905847,907447,5560309,5561509,44,126.192
905847,907447,5560309,5561509,44,1.358
905847,907447,5560309,5561509,44,1.326
905847,907447,5560309,5561509,44,1.796
905847,907447,5560309,5561509,44,1.236
905847,907447,5560309,5561509,44,1.381
905847,907447,5560309,5561509,44,1.216
905847,907447,5560309,5561509,44,1.289
905847,907447,5560309,5561509,44,1.221
905847,907447,5560309,5561509,44,1.343
905847,907447,5560309,5561509,44,1.216
905847,907447,5560309,5561509,44,1.296
905847,907447,5560309,5561509,44,1.213
905847,907447,5560309,5561509,44,1.429
905847,907447,5560309,5561509,44,1.254
905847,907447,5560309,5561509,44,1.409
905847,907447,5560309,5561509,44,1.225
905847,907447,5560309,5561509,44,1.291
905847,907447,5560309,5561509,44,1.209
905847,907447,5560309,5561509,44,1.29
905880,907880,5541391,5542891,72,55.776
