x_min,x_max,y_min,y_max,records_count,execution_time_ms
999432,999472,5461672,5461702,0,295.146
999432,999472,5461672,5461702,0,0.915
999432,999472,5461672,5461702,0,0.852
999432,999472,5461672,5461702,0,0.849
999432,999472,5461672,5461702,0,0.834
999432,999472,5461672,5461702,0,0.821
999432,999472,5461672,5461702,0,0.824
999432,999472,5461672,5461702,0,0.817
999432,999472,5461672,5461702,0,0.836
999432,999472,5461672,5461702,0,0.811
999432,999472,5461672,5461702,0,0.847
999432,999472,5461672,5461702,0,0.835
999432,999472,5461672,5461702,0,0.85
999432,999472,5461672,5461702,0,1.0
999432,999472,5461672,5461702,0,0.872
999432,999472,5461672,5461702,0,0.85
999432,999472,5461672,5461702,0,0.844
999432,999472,5461672,5461702,0,0.851
999432,999472,5461672,5461702,0,0.88
999432,999472,5461672,5461702,0,0.843
887665,887745,5496718,5496778,0,91.976
887665,887745,5496718,5496778,0,0.458
887665,887745,5496718,5496778,0,0.41
887665,887745,5496718,5496778,0,0.418
887665,887745,5496718,5496778,0,0.406
887665,887745,5496718,5496778,0,0.403
887665,887745,5496718,5496778,0,0.409
887665,887745,5496718,5496778,0,0.409
887665,887745,5496718,5496778,0,0.404
887665,887745,5496718,5496778,0,0.405
887665,887745,5496718,5496778,0,0.43
887665,887745,5496718,5496778,0,0.403
887665,887745,5496718,5496778,0,0.402
887665,887745,5496718,5496778,0,0.409
887665,887745,5496718,5496778,0,0.412
887665,887745,5496718,5496778,0,0.405
887665,887745,5496718,5496778,0,0.406
887665,887745,5496718,5496778,0,0.405
887665,887745,5496718,5496778,0,0.409
887665,887745,5496718,5496778,0,0.404
1053144,1053264,5452287,5452377,0,23.174
1053144,1053264,5452287,5452377,0,0.72
1053144,1053264,5452287,5452377,0,0.706
1053144,1053264,5452287,5452377,0,0.677
1053144,1053264,5452287,5452377,0,0.683
1053144,1053264,5452287,5452377,0,0.682
1053144,1053264,5452287,5452377,0,0.669
1053144,1053264,5452287,5452377,0,0.72
1053144,1053264,5452287,5452377,0,0.68
1053144,1053264,5452287,5452377,0,0.673
1053144,1053264,5452287,5452377,0,0.668
1053144,1053264,5452287,5452377,0,0.671
1053144,1053264,5452287,5452377,0,0.866
1053144,1053264,5452287,5452377,0,0.723
1053144,1053264,5452287,5452377,0,0.688
1053144,1053264,5452287,5452377,0,0.675
1053144,1053264,5452287,5452377,0,0.684
1053144,1053264,5452287,5452377,0,0.674
1053144,1053264,5452287,5452377,0,0.676
1053144,1053264,5452287,5452377,0,0.681
888946,889106,5457589,5457709,0,83.422
888946,889106,5457589,5457709,0,0.696
888946,889106,5457589,5457709,0,0.65
888946,889106,5457589,5457709,0,0.631
888946,889106,5457589,5457709,0,0.628
888946,889106,5457589,5457709,0,0.637
888946,889106,5457589,5457709,0,0.627
888946,889106,5457589,5457709,0,0.804
888946,889106,5457589,5457709,0,0.671
888946,889106,5457589,5457709,0,0.632
888946,889106,5457589,5457709,0,0.626
888946,889106,5457589,5457709,0,0.629
888946,889106,5457589,5457709,0,0.633
888946,889106,5457589,5457709,0,0.635
888946,889106,5457589,5457709,0,0.629
888946,889106,5457589,5457709,0,0.634
888946,889106,5457589,5457709,0,0.624
888946,889106,5457589,5457709,0,0.637
888946,889106,5457589,5457709,0,0.635
888946,889106,5457589,5457709,0,0.624
885638,885838,5472371,5472521,0,28.005
885638,885838,5472371,5472521,0,0.395
885638,885838,5472371,5472521,0,0.366
885638,885838,5472371,5472521,0,0.355
885638,885838,5472371,5472521,0,0.353
885638,885838,5472371,5472521,0,0.357
885638,885838,5472371,5472521,0,0.354
885638,885838,5472371,5472521,0,0.352
885638,885838,5472371,5472521,0,0.353
885638,885838,5472371,5472521,0,0.351
885638,885838,5472371,5472521,0,0.408
885638,885838,5472371,5472521,0,0.356
885638,885838,5472371,5472521,0,0.354
885638,885838,5472371,5472521,0,0.349
885638,885838,5472371,5472521,0,0.349
885638,885838,5472371,5472521,0,0.365
885638,885838,5472371,5472521,0,0.353
885638,885838,5472371,5472521,0,0.353
885638,885838,5472371,5472521,0,0.518
885638,885838,5472371,5472521,0,0.54
885845,886245,5499678,5499978,0,16.029
885845,886245,5499678,5499978,0,0.881
885845,886245,5499678,5499978,0,0.919
885845,886245,5499678,5499978,0,0.569
885845,886245,5499678,5499978,0,0.618
885845,886245,5499678,5499978,0,0.687
885845,886245,5499678,5499978,0,0.483
885845,886245,5499678,5499978,0,0.466
885845,886245,5499678,5499978,0,0.471
885845,886245,5499678,5499978,0,0.466
885845,886245,5499678,5499978,0,0.606
885845,886245,5499678,5499978,0,0.65
885845,886245,5499678,5499978,0,0.559
885845,886245,5499678,5499978,0,0.471
885845,886245,5499678,5499978,0,0.471
885845,886245,5499678,5499978,0,0.46
885845,886245,5499678,5499978,0,0.476
885845,886245,5499678,5499978,0,0.523
885845,886245,5499678,5499978,0,0.462
885845,886245,5499678,5499978,0,0.464
1068520,1069320,5691588,5692188,0,26.608
1068520,1069320,5691588,5692188,0,1.136
1068520,1069320,5691588,5692188,0,1.396
1068520,1069320,5691588,5692188,0,1.1
1068520,1069320,5691588,5692188,0,1.084
1068520,1069320,5691588,5692188,0,1.051
1068520,1069320,5691588,5692188,0,1.062
1068520,1069320,5691588,5692188,0,1.387
1068520,1069320,5691588,5692188,0,1.108
1068520,1069320,5691588,5692188,0,1.095
1068520,1069320,5691588,5692188,0,1.049
1068520,1069320,5691588,5692188,0,1.037
1068520,1069320,5691588,5692188,0,1.949
1068520,1069320,5691588,5692188,0,1.678
1068520,1069320,5691588,5692188,0,1.602
1068520,1069320,5691588,5692188,0,1.622
1068520,1069320,5691588,5692188,0,1.908
1068520,1069320,5691588,5692188,0,1.462
1068520,1069320,5691588,5692188,0,1.077
1068520,1069320,5691588,5692188,0,1.058
883504,884704,5506166,5507066,0,23.699
883504,884704,5506166,5507066,0,0.772
883504,884704,5506166,5507066,0,0.688
883504,884704,5506166,5507066,0,0.673
883504,884704,5506166,5507066,0,0.678
883504,884704,5506166,5507066,0,0.78
883504,884704,5506166,5507066,0,0.802
883504,884704,5506166,5507066,0,0.768
883504,884704,5506166,5507066,0,0.747
883504,884704,5506166,5507066,0,0.723
883504,884704,5506166,5507066,0,0.71
883504,884704,5506166,5507066,0,0.727
883504,884704,5506166,5507066,0,0.688
883504,884704,5506166,5507066,0,0.996
883504,884704,5506166,5507066,0,0.814
883504,884704,5506166,5507066,0,1.092
883504,884704,5506166,5507066,0,0.725
883504,884704,5506166,5507066,0,0.872
883504,884704,5506166,5507066,0,0.995
883504,884704,5506166,5507066,0,0.947
881886,883486,5550948,5552148,0,10.505
881886,883486,5550948,5552148,0,1.062
881886,883486,5550948,5552148,0,1.181
881886,883486,5550948,5552148,0,0.966
881886,883486,5550948,5552148,0,0.959
881886,883486,5550948,5552148,0,0.951
881886,883486,5550948,5552148,0,1.115
881886,883486,5550948,5552148,0,1.037
881886,883486,5550948,5552148,0,1.227
881886,883486,5550948,5552148,0,1.385
