x_min,x_max,y_min,y_max,records_count,execution_time_ms
910974,911014,5669913,5669943,0,238.532
910974,911014,5669913,5669943,0,0.494
910974,911014,5669913,5669943,0,0.427
910974,911014,5669913,5669943,0,0.441
910974,911014,5669913,5669943,0,0.426
910974,911014,5669913,5669943,0,0.422
910974,911014,5669913,5669943,0,0.425
910974,911014,5669913,5669943,0,0.427
910974,911014,5669913,5669943,0,0.441
910974,911014,5669913,5669943,0,0.423
910974,911014,5669913,5669943,0,0.431
910974,911014,5669913,5669943,0,0.439
910974,911014,5669913,5669943,0,0.43
910974,911014,5669913,5669943,0,0.436
910974,911014,5669913,5669943,0,0.423
910974,911014,5669913,5669943,0,0.425
910974,911014,5669913,5669943,0,0.425
910974,911014,5669913,5669943,0,0.428
910974,911014,5669913,5669943,0,0.426
910974,911014,5669913,5669943,0,0.42
1057924,1058004,5653806,5653866,0,144.44
1057924,1058004,5653806,5653866,0,0.677
1057924,1058004,5653806,5653866,0,0.629
1057924,1058004,5653806,5653866,0,0.59
1057924,1058004,5653806,5653866,0,0.595
1057924,1058004,5653806,5653866,0,0.596
1057924,1058004,5653806,5653866,0,0.583
1057924,1058004,5653806,5653866,0,0.584
1057924,1058004,5653806,5653866,0,0.595
1057924,1058004,5653806,5653866,0,0.579
1057924,1058004,5653806,5653866,0,0.582
1057924,1058004,5653806,5653866,0,0.592
1057924,1058004,5653806,5653866,0,0.582
1057924,1058004,5653806,5653866,0,0.581
1057924,1058004,5653806,5653866,0,0.574
1057924,1058004,5653806,5653866,0,0.584
1057924,1058004,5653806,5653866,0,0.583
1057924,1058004,5653806,5653866,0,0.574
1057924,1058004,5653806,5653866,0,0.574
1057924,1058004,5653806,5653866,0,1.792
936667,936787,5680503,5680593,0,109.689
936667,936787,5680503,5680593,0,0.755
936667,936787,5680503,5680593,0,0.708
936667,936787,5680503,5680593,0,0.675
936667,936787,5680503,5680593,0,0.656
936667,936787,5680503,5680593,0,0.648
936667,936787,5680503,5680593,0,0.645
936667,936787,5680503,5680593,0,0.644
936667,936787,5680503,5680593,0,0.649
936667,936787,5680503,5680593,0,0.658
936667,936787,5680503,5680593,0,0.648
936667,936787,5680503,5680593,0,0.648
936667,936787,5680503,5680593,0,0.64
936667,936787,5680503,5680593,0,0.648
936667,936787,5680503,5680593,0,0.645
936667,936787,5680503,5680593,0,0.646
936667,936787,5680503,5680593,0,0.64
936667,936787,5680503,5680593,0,0.651
936667,936787,5680503,5680593,0,0.646
936667,936787,5680503,5680593,0,0.806
955169,955329,5506093,5506213,0,158.161
955169,955329,5506093,5506213,0,1.976
955169,955329,5506093,5506213,0,1.492
955169,955329,5506093,5506213,0,1.425
955169,955329,5506093,5506213,0,1.395
955169,955329,5506093,5506213,0,1.737
955169,955329,5506093,5506213,0,1.481
955169,955329,5506093,5506213,0,1.4
955169,955329,5506093,5506213,0,1.373
955169,955329,5506093,5506213,0,1.632
955169,955329,5506093,5506213,0,1.55
955169,955329,5506093,5506213,0,1.603
955169,955329,5506093,5506213,0,1.504
955169,955329,5506093,5506213,0,1.687
955169,955329,5506093,5506213,0,1.415
955169,955329,5506093,5506213,0,1.39
955169,955329,5506093,5506213,0,1.37
955169,955329,5506093,5506213,0,1.408
955169,955329,5506093,5506213,0,1.368
955169,955329,5506093,5506213,0,1.694
977862,978062,5691551,5691701,0,58.182
977862,978062,5691551,5691701,0,0.809
977862,978062,5691551,5691701,0,0.75
977862,978062,5691551,5691701,0,0.735
977862,978062,5691551,5691701,0,0.742
977862,978062,5691551,5691701,0,0.732
977862,978062,5691551,5691701,0,0.726
977862,978062,5691551,5691701,0,0.728
977862,978062,5691551,5691701,0,0.723
977862,978062,5691551,5691701,0,0.75
977862,978062,5691551,5691701,0,0.724
977862,978062,5691551,5691701,0,0.731
977862,978062,5691551,5691701,0,0.725
977862,978062,5691551,5691701,0,0.735
977862,978062,5691551,5691701,0,0.726
977862,978062,5691551,5691701,0,0.726
977862,978062,5691551,5691701,0,0.728
977862,978062,5691551,5691701,0,0.747
977862,978062,5691551,5691701,0,0.747
977862,978062,5691551,5691701,0,0.726
973510,973910,5494044,5494344,6,31.19
973510,973910,5494044,5494344,6,2.162
973510,973910,5494044,5494344,6,2.06
973510,973910,5494044,5494344,6,2.025
973510,973910,5494044,5494344,6,2.029
973510,973910,5494044,5494344,6,2.011
973510,973910,5494044,5494344,6,2.04
973510,973910,5494044,5494344,6,2.328
973510,973910,5494044,5494344,6,2.09
973510,973910,5494044,5494344,6,2.029
973510,973910,5494044,5494344,6,1.996
973510,973910,5494044,5494344,6,1.948
973510,973910,5494044,5494344,6,1.973
973510,973910,5494044,5494344,6,1.956
973510,973910,5494044,5494344,6,1.973
973510,973910,5494044,5494344,6,1.957
973510,973910,5494044,5494344,6,1.97
973510,973910,5494044,5494344,6,1.946
973510,973910,5494044,5494344,6,1.947
973510,973910,5494044,5494344,6,1.963
936063,936863,5585634,5586234,32,128.152
936063,936863,5585634,5586234,32,4.063
936063,936863,5585634,5586234,32,3.781
936063,936863,5585634,5586234,32,3.881
936063,936863,5585634,5586234,32,3.742
936063,936863,5585634,5586234,32,3.746
936063,936863,5585634,5586234,32,3.758
936063,936863,5585634,5586234,32,3.652
936063,936863,5585634,5586234,32,3.543
936063,936863,5585634,5586234,32,5.571
936063,936863,5585634,5586234,32,4.274
936063,936863,5585634,5586234,32,4.322
936063,936863,5585634,5586234,32,6.37
936063,936863,5585634,5586234,32,3.857
936063,936863,5585634,5586234,32,3.705
936063,936863,5585634,5586234,32,3.878
936063,936863,5585634,5586234,32,3.924
936063,936863,5585634,5586234,32,3.686
936063,936863,5585634,5586234,32,3.726
936063,936863,5585634,5586234,32,5.085
998751,999951,5596633,5597533,36,55.785
998751,999951,5596633,5597533,36,3.864
998751,999951,5596633,5597533,36,3.741
